Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52529,"The Secret (The Secret, #1)",Rhonda Byrne,"Byrne, Rhonda",,"=""""","=""""",3,3.73,Atria Books/Beyond Words,Hardcover,199,2006,2006,2018/01/06,2018/01/03,self-help,self-help (#16),read,,,,1,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",4,4.25,Harper Business,Paperback,623,2006,1949,,2018/01/03,"currently-reading, investment","currently-reading (#1), investment (#10)",currently-reading,,,,1,1
32146354,Entrepreneurship Simplified,Ashok Soota,"Soota, Ashok",S.R. Gopalan,"=""0670088951""","=""9780670088959""",5,4.30,India Portfolio,Hardcover,248,2016,,,2018/01/03,"currently-reading, business","currently-reading (#2), business (#2)",currently-reading,,,,1,1
762464,Beating the Street,Peter Lynch,"Lynch, Peter",John Rothchild,"=""0671891634""","=""9780671891633""",4,4.10,Simon & Schuster,Paperback,336,1994,1992,,2018/01/03,"to-read, investment","to-read (#1), investment (#8)",to-read,,,,0,1
25534728,Sadhguru: More Than a Life,Arundhathi Subramaniam,"Subramaniam, Arundhathi",,"=""0143421123""","=""9780143421122""",5,4.45,Penguin,Paperback,256,2013,2010,,2018/01/03,"to-read, biography","to-read (#3), biography (#3)",to-read,,,,0,1
1406343,The Tao of Warren Buffett,buffett-mary-clark-david,"buffett-mary-clark-david, buffett-mary-clark-david",,"=""1847390528""","=""9781847390523""",3,3.81,Pocket Books,Paperback,,2009,2006,,2018/01/03,"to-read, investment","to-read (#2), investment (#7)",to-read,,,,0,1
33004192,Inner Engineering: A Yogi's Guide to Joy,Sadhguru,"Sadhguru, Sadhguru",,"=""0143428845""","=""9780143428848""",4,4.20,Penguin Ananda,Paperback,274,2016,2016,,2018/01/03,"to-read, self-help","to-read (#4), self-help (#15)",to-read,,,,0,1
25404962,Miracles Of Your Mind,Joseph Murphy,"Murphy, Joseph",,"=""8183225101""","=""9788183225106""",5,4.24,Manjul Publishing House ,Paperback,84,2014,1952,,2018/01/03,"to-read, self-help","to-read (#5), self-help (#14)",to-read,,,,0,1
29356142,Maximize Your Potential Through the Power of Your Subconscious Mind to Create Wealth and Success,Na,"Na, Na",,"=""8183226078""","=""9788183226073""",5,4.03,Manjul Publishing House Pvt Ltd,Paperback,225,2017,2007,,2018/01/03,"to-read, self-help","to-read (#6), self-help (#13)",to-read,,,,0,1
25851948,BODY THE GREATEST GADGET / MIND IS YOUR BUSINESS (2 BOOKS IN 1),Sadhguru,"Sadhguru, Sadhguru",,"=""8184956959""","=""9788184956955""",4,4.31,JAICO,Paperback,170,2015,2013,,2018/01/03,"to-read, self-help","to-read (#7), self-help (#12)",to-read,,,,0,1
25581383,Believe in Yourself,Joseph Murphy,"Murphy, Joseph",,"=""8183225098""","=""9788183225090""",5,4.06,Manjul India,Paperback,73,2014,1954,2017/06/01,2018/01/03,self-help,self-help (#11),read,,,,1,1
29690849,Maximize Your Potential Through the Power of Your Subconscious Mind to Overcome Fear and Worry: Book 1,Joseph Murphy,"Murphy, Joseph",,"=""818322623X""","=""9788183226233""",5,4.01,Manjul Publishing House Pvt Ltd,Paperback,180,2016,2007,,2018/01/03,"to-read, self-help","to-read (#8), self-help (#10)",to-read,,,,0,1
634583,Wings of Fire: An Autobiography,A.P.J. Abdul Kalam,"Kalam, A.P.J. Abdul",Arun Tiwari,"=""8173711461""","=""9788173711466""",5,4.29,Universities Press,Paperback,180,2011,1999,,2018/01/03,"to-read, biography","to-read (#10), biography (#2)",to-read,,,,0,1
25377297,"PSYCHIC PERCEPTION NEW [Paperback] [Jan 01, 2013] Dr. JOSEPH MURPHY",Joseph Murphy,"Murphy, Joseph",,"=""8183224873""","=""9788183224871""",4,3.85,Manjul Publishing House,Paperback,220,2014,1971,,2018/01/03,"to-read, self-help","to-read (#12), self-help (#9)",to-read,,,,0,1
293636,Value Investing: From Graham to Buffett and Beyond,Bruce C. Greenwald,"Greenwald, Bruce C.","Judd Kahn, Michael van Biema, Paul D. Sonkin","=""0471463396""","=""9780471463399""",4,4.21,John Wiley & Sons Inc,Paperback,311,2004,2001,,2018/01/03,"to-read, investment","to-read (#13), investment (#5)",to-read,,,,0,1
35611178,EVERYTHING YOU WANTED TO KNOW ABOUT STOCK MARKET INVESTING,TV 18 Broadcast Ltd,"Ltd, TV 18 Broadcast",,"=""938020096X""","=""9789380200965""",5,3.78,TV 18 Broadcast Ltd,Hardcover,302,2015,2014,,2018/01/03,"to-read, investment","to-read (#15), investment (#4)",to-read,,,,0,1
33390186,Investment Adviser Level 1 : 10-A Nism Examination Work Book,National Institute of Securities Markets,"Markets, National Institute of Securities",,"=""935071843X""","=""9789350718438""",4,4.50,Taxmann Publications Pvt. Ltd.,Paperback,344,2016,,,2018/01/03,"to-read, investment","to-read (#19), investment (#3)",to-read,,,,0,1
817589,Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,Peter Lynch,"Lynch, Peter",John Rothchild,"=""0684811634""","=""9780684811635""",5,4.05,Simon & Schuster,Paperback,272,1996,,,2018/01/03,"to-read, investment","to-read (#20), investment (#2)",to-read,,,,0,1
